Contractor Employee Name,Contractor Employee E-mail,"NMCI Account Status (active, inactive, deleted)",Badged (Yes/No)
ABBOTT BRENDON B,,,No
ABBOTT FINLEY X,,,Yes
ABBOTT GAEL C,,,No
ABBOTT MAKENZIE N,,,No
ABBOTT ZANE K,ZANE.K.ABBOTT.TEST@US.NAVY.MIL,Active,Yes
ACEVEDO GRANT V,,,No
ACEVEDO MISAEL O,,,No
ACEVEDO QUINN X,,,No
ACEVEDO RYAN C,,,No
ACEVEDO SAMANTHA R III,,,Yes
ACOSTA BROOKLYNN C,BROOKLYNN.C.ACOSTA.TEST@US.NAVY.MIL,,No
ACOSTA CHARITY O,CHARITY.O.ACOSTA.TEST@US.NAVY.MIL,Active,Yes
ACOSTA KATHARINE W III,,,No
ACOSTA QUINTIN T,,,No
ADAMS BRUNO E,BRUNO.E.ADAMS.TEST@US.NAVY.MIL,Active,Yes
ADAMS GAVEN L MD,,,No
ADAMS GRACIE F IV,,,No
ADAMS JARVIS H,,,No
ADAMS JULIO K,JULIO.K.ADAMS.TEST@US.NAVY.MIL,Deleted,Yes
ADAMS KENNETH R,,,No
ADAMS RILEY U,,,No
ADKINS BIANCA M,BIANCA.M.ADKINS.TEST@US.NAVY.MIL,Active,No
ADKINS CYRUS Q,,,No
ADKINS JAMIE W,JAMIE.W.ADKINS.TEST@US.NAVY.MIL,Active,No
ADKINS KAYLEY N,,,No
ADKINS ZACHERY Y,ZACHERY.Y.ADKINS.TEST@US.NAVY.MIL,Active,Yes
AGUILAR DEVONTE P,,,Yes
AGUILAR KAYLIN F,KAYLIN.F.AGUILAR.TEST@US.NAVY.MIL,Active,Yes
AGUILAR MANUEL Q,MANUEL.Q.AGUILAR.TEST@US.NAVY.MIL,Active,No
AGUIRRE ABRAHAM H,,,No
AGUIRRE ALEXANDRIA R,,,No
AGUIRRE ARELI H,ARELI.H.AGUIRRE.TEST@US.NAVY.MIL,Deleted,No
AGUIRRE DEONTE P JR,,,Yes
AGUIRRE JULIA U,JULIA.U.AGUIRRE.TEST@US.NAVY.MIL,Active,Yes
AGUIRRE KATHRYN B,,,No
AGUIRRE LUIS W,,,No
AGUIRRE RYLIE Q,RYLIE.Q.AGUIRRE.TEST@US.NAVY.MIL,Active,No
AGUIRRE SHAYNE A,,,Yes
AGUIRRE ZECHARIAH D,,,No
ALEXANDER ENZO H,,,No
ALEXANDER GUADALUPE S,,,No
ALEXANDER ISABELLA H,,,Yes
ALEXANDER JAKE U JR,JAKE.U.ALEXANDER.TEST@US.NAVY.MIL,Active,No
ALEXANDER KELVIN X,,,No
ALEXANDER TRISTIN V,TRISTIN.V.ALEXANDER.TEST@US.NAVY.MIL,Active,Yes
ALI GILBERTO P,,Active,No
ALI KAIA H,KAIA.H.ALI.TEST@US.NAVY.MIL,Active,Yes
ALI MARQUEZ J,,,No
ALI NYLA Y,,,Yes
ALI RAMON E,RAMON.E.ALI.TEST@US.NAVY.MIL,Active,Yes
ALI SHYANN C III,,,No
ALLEN CAMILA Y,,,No
ALLEN KAYLEY I,,,No
ALLEN MATTIE N,,Active,Yes
ALLEN NIA V,NIA.V.ALLEN.TEST@US.NAVY.MIL,Active,Yes
ALLEN NIGEL D,,,No
ALLISON HARLEY S,,,No
ALLISON NIKOLAS F,NIKOLAS.F.ALLISON.TEST@US.NAVY.MIL,Active,Yes
ALLISON TANIA V,,Deleted,No
ALVARADO ALONSO O,,,Yes
ALVARADO CALLIE H,,,No
ALVARADO DAKOTA C,,,Yes
ALVARADO MADALYNN G,MADALYNN.G.ALVARADO.TEST@US.NAVY.MIL,Active,Yes
ALVARADO PRINCESS V,PRINCESS.V.ALVARADO.TEST@US.NAVY.MIL,Active,Yes
ALVAREZ BRYANT E,,,No
ALVAREZ DION G,DION.G.ALVAREZ.TEST@US.NAVY.MIL,Deleted,No
ALVAREZ GRAYSON T,,,No
ALVAREZ JADEN D,,,No
ALVAREZ JAYLEE U,,Active,No
ALVAREZ KALE Z,KALE.Z.ALVAREZ.TEST@US.NAVY.MIL,Active,Yes
ALVAREZ SIMEON K,,,Yes
ALVAREZ WILLIE N,,,No
ANDERSEN ROCCO X,,,Yes
ANDERSEN TESS X,,,No
ANDERSEN TIA M,,,No
ANDERSON CASSANDRA C JR,CASSANDRA.C.ANDERSON.TEST@US.NAVY.MIL,Active,Yes
ANDERSON CLAYTON L,CLAYTON.L.ANDERSON.TEST@US.NAVY.MIL,Active,Yes
ANDERSON DYLON Y,DYLON.Y.ANDERSON.TEST@US.NAVY.MIL,Active,Yes
ANDERSON FABIOLA J,,,No
ANDERSON HENRY S,,,No
ANDERSON KARLA H,,Active,Yes
ANDERSON LAYLA L II,,,No
ANDERSON MATHEW H,,Active,Yes
ANDERSON MICHELLE Z,,Active,No
ANDERSON SKYLAR C,SKYLAR.C.ANDERSON.TEST@US.NAVY.MIL,Active,No
ANDRADE DEVYN V,,,No
ANDRADE HAVEN E,,,No
ANDRADE JENNIFER Z,,,No
ANDRADE MARIE H,,,No
